annee;patho_niv1;patho_niv2;patho_niv3;top;cla_age_5;sexe;region;dept;Ntop;Npop;prev;Niveau prioritaire;libelle_classe_age;libelle_sexe;tri
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;2;53;999;120;93170;0.127;2;de 30 à 34 ans;femmes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;75;40;50;15190;0.349;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;75;16;2040;179400;1.138;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;2;75;17;20;16850;0.131;2;de 30 à 34 ans;femmes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;75;64;100;23320;0.42;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;75;17;4670;360520;1.295;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;2;75;24;10;9520;0.147;2;de 30 à 34 ans;femmes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;76;11;80;13130;0.617;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;75;19;1810;122330;1.479;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;2;75;64;30;18830;0.149;2;de 30 à 34 ans;femmes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;76;30;150;26160;0.566;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;75;47;2660;172990;1.539;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;2;75;87;;10150;;2;de 30 à 34 ans;femmes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;76;46;40;6740;0.623;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;75;64;5170;367780;1.406;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;2;76;12;;6960;;2;de 30 à 34 ans;femmes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;76;82;40;8390;0.501;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;75;86;2690;220030;1.222;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;2;76;34;50;35730;0.126;2;de 30 à 34 ans;femmes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;84;26;80;16770;0.495;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;75;999;41330;3188270;1.296;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;2;84;15;;3450;;2;de 30 à 34 ans;femmes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;84;42;150;23380;0.637;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;76;46;1370;89720;1.528;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;2;84;38;70;40210;0.177;2;de 30 à 34 ans;femmes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;84;63;100;21100;0.46;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;76;09;1120;79370;1.405;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;2;93;04;;4290;;2;de 30 à 34 ans;femmes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;84;07;40;11340;0.379;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;76;999;37550;3170330;1.184;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;2;94;2B;;4750;;2;de 30 à 34 ans;femmes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;84;73;90;13870;0.642;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;84;15;1130;72300;1.557;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;2;94;999;20;9110;0.209;2;de 30 à 34 ans;femmes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;93;13;450;64130;0.706;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;84;69;9630;986250;0.976;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;03;999;;7200;;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;93;83;140;38390;0.359;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;84;07;2100;171220;1.228;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;04;974;40;31080;0.122;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;94;2A;30;5050;0.674;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;84;74;4090;424750;0.963;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;04;999;40;31080;0.122;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;94;2B;50;5540;0.938;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;93;13;13110;1120040;1.17;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;06;976;;4470;;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;2;99;999;11700;2082740;0.562;2,3;de 60 à 64 ans;femmes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;94;999;2130;163200;1.306;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;11;77;70;49230;0.142;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;01;971;110;27510;0.411;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;2;99;999;407360;35051900;1.162;3;tous âges;femmes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;11;999;770;463010;0.166;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;02;972;90;27590;0.308;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;01;971;6310;387180;1.63;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;24;28;10;13260;0.106;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;03;999;30;8590;0.338;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;03;973;1790;203170;0.881;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;24;36;;5310;;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;04;974;210;48220;0.427;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;04;999;12490;937090;1.333;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;24;37;30;18140;0.171;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;06;976;10;3560;0.394;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;06;976;500;130950;0.383;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;24;999;100;74630;0.129;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;06;999;10;3560;0.394;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;11;77;16020;1435310;1.116;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;27;25;30;17260;0.174;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;11;77;380;75540;0.507;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;11;91;12970;1319160;0.983;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;27;58;;4830;;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;11;78;430;77550;0.552;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;11;92;15780;1604160;0.984;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;27;999;130;79470;0.161;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;11;91;390;67990;0.574;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;11;94;14240;1376070;1.035;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;28;50;;12650;;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;11;92;490;80480;0.605;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;11;999;122010;12183030;1.001;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;44;51;30;17550;0.165;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;11;94;400;72380;0.55;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;24;18;3800;289980;1.31;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;44;52;;4720;;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;11;95;350;65870;0.527;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;24;999;31350;2537020;1.236;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;44;54;40;21570;0.167;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;24;18;130;20330;0.615;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;27;25;6770;533270;1.269;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;44;68;30;23130;0.112;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;24;41;170;21650;0.767;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;28;14;9530;697250;1.367;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;52;72;30;15990;0.163;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;24;45;240;39620;0.613;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;28;61;4080;265940;1.533;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;53;29;40;25200;0.139;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;24;999;1050;158940;0.659;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;32;60;9250;814640;1.135;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;53;56;20;19900;0.111;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;27;39;120;16720;0.694;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;44;10;3220;296670;1.087;3;tous âges;tous sexes;67.0
2015;Cancers;Cancer du sein de la femme;;CAN_SEI_CAT;30-34;9;75;16;20;9120;0.197;2;de 30 à 34 ans;tous sexes;21.0
2020;Traitements psychotropes (hors pathologies);Traitements neuroleptiques (hors pathologies);Traitements neuroleptiques (hors pathologies);TPS_NLE_EXC;60-64;9;27;58;70;14740;0.468;2,3;de 60 à 64 ans;tous sexes;55.0
2023;Maladies cardioneurovasculaires;Accident vasculaire cérébral;Séquelle d'accident vasculaire cérébral;MCV_AVC_CHR;tsage;9;44;54;8360;662660;1.262;3;tous âges;tous sexes;67.0
