annee;patho_niv1;patho_niv2;patho_niv3;top;cla_age_5;sexe;region;dept;Ntop;Npop;prev;Niveau prioritaire;libelle_classe_age;libelle_sexe;tri
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;28;61;;6250;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;1;84;73;20;13540;0.17;2;de 10 à 14 ans;hommes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;44;55;;9710;;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;44;51;;15140;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;1;84;74;50;26550;0.169;2;de 10 à 14 ans;hommes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;44;67;60;71110;0.09;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;44;54;;17490;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;1;84;999;500;259600;0.191;2;de 10 à 14 ans;hommes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;44;08;20;14850;0.108;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;44;57;;23910;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;1;93;06;60;31990;0.178;2;de 10 à 14 ans;hommes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;52;85;30;38810;0.075;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;44;67;;30200;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;1;93;84;20;18930;0.079;2;de 10 à 14 ans;hommes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;52;999;160;229000;0.07;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;52;53;;7770;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;1;94;999;20;8260;0.29;2;de 10 à 14 ans;hommes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;53;56;20;41920;0.043;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;53;22;;13340;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;01;999;;12040;;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;53;999;110;192550;0.058;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;53;29;;21130;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;06;976;;6040;;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;75;16;;18130;;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;53;56;;17480;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;06;999;;6040;;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;75;23;;4950;;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;53;999;;81970;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;11;77;50;50410;0.105;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;75;33;80;108090;0.074;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;75;16;;7600;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;11;92;70;47960;0.144;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;75;40;20;24260;0.074;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;75;17;;13430;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;11;94;70;43090;0.156;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;75;47;;17520;;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;75;19;;4810;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;24;28;20;14020;0.15;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;75;64;30;39820;0.073;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;75;40;;9290;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;24;36;;5450;;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;75;79;10;20380;0.054;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;75;47;;7780;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;24;45;30;22020;0.132;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;76;31;80;95670;0.083;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;76;32;;3820;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;24;999;120;77660;0.156;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;76;65;20;11910;0.126;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;76;65;;4730;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;27;21;20;14390;0.125;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;76;999;270;351140;0.078;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;84;38;;36480;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;27;58;;4780;;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;84;01;30;39230;0.084;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;84;42;;21250;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;27;71;20;15310;0.157;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;84;03;10;16470;0.073;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;84;63;;16270;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;27;999;130;79250;0.162;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;84;07;10;18030;0.061;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;84;69;;61350;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;28;27;30;19970;0.135;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;93;05;;8110;;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;84;07;;7600;;2,3;de 0 à 4 ans;hommes;24.0
2015;Total consommants tous régimes;Total consommants tous régimes;Total consommants tous régimes;POP_TOT_IND;60-64;9;75;87;24070;24070;100.0;;de 60 à 64 ans;tous sexes;
2015;Maladies neurologiques;Myopathie ou myasthénie;Myopathie ou myasthénie;NEU_MMY_IND;20-24;9;11;95;50;70450;0.071;2,3;de 20 à 24 ans;tous sexes;40.0
2015;Total consommants tous régimes;Total consommants tous régimes;Total consommants tous régimes;POP_TOT_IND;60-64;9;76;34;65980;65980;100.0;;de 60 à 64 ans;tous sexes;
2015;Maladies neurologiques;Myopathie ou myasthénie;Myopathie ou myasthénie;NEU_MMY_IND;20-24;9;24;18;;13810;;2,3;de 20 à 24 ans;tous sexes;40.0
2015;Total consommants tous régimes;Total consommants tous régimes;Total consommants tous régimes;POP_TOT_IND;60-64;9;76;999;350750;350750;100.0;;de 60 à 64 ans;tous sexes;
2015;Maladies neurologiques;Myopathie ou myasthénie;Myopathie ou myasthénie;NEU_MMY_IND;20-24;9;24;45;20;34470;0.044;2,3;de 20 à 24 ans;tous sexes;40.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;95et+;1;84;42;700;880;;2,3;plus de 95 ans;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;30-34;9;75;47;140;16720;0.819;1,2,3;de 30 à 34 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;10-14;9;11;75;30;91980;0.033;2,3;de 10 à 14 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;95et+;1;84;74;;580;;2,3;plus de 95 ans;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;30-34;9;75;87;160;18650;0.836;1,2,3;de 30 à 34 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;10-14;9;11;77;10;92650;0.013;2,3;de 10 à 14 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;95et+;1;93;13;;2050;;2,3;plus de 95 ans;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;30-34;9;75;999;2390;326530;0.733;1,2,3;de 30 à 34 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;10-14;9;11;94;20;80730;0.019;2,3;de 10 à 14 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;95et+;1;84;42;50;880;;2,3;de 20 à 24 ans;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;30-34;9;75;87;45;18650;0.836;1,2,3;de 20 à 24 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;2;84;63;;17350;;2,3;de 15 à 19 ans;femmes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;44;52;70;82270;0.086;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;11;77;1410;94840;1.49;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;2;84;73;;12040;;2,3;de 15 à 19 ans;femmes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;44;57;450;442170;0.102;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;11;92;1360;117970;1.149;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;2;84;999;40;227380;0.019;2,3;de 15 à 19 ans;femmes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;44;68;330;365210;0.09;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;11;94;1350;96000;1.408;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;2;93;05;;3730;;2,3;de 15 à 19 ans;femmes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;44;08;130;129360;0.098;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;24;45;570;40290;1.412;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;2;93;83;;28150;;2,3;de 15 à 19 ans;femmes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;44;88;170;178400;0.093;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;27;21;350;30590;1.151;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;2;93;84;;16160;;2,3;de 15 à 19 ans;femmes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;52;44;360;733570;0.049;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;27;25;410;33370;1.229;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;2;93;999;20;137150;0.015;2,3;de 15 à 19 ans;femmes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;52;53;130;151080;0.083;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;27;58;140;9650;1.462;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;2;94;2A;;3390;;2,3;de 15 à 19 ans;femmes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;52;85;270;356360;0.076;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;28;27;440;36710;1.19;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;2;94;999;;7170;;2,3;de 15 à 19 ans;femmes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;75;17;210;335160;0.062;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;28;50;280;26280;1.046;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;2;99;999;440;1896950;0.023;2,3;de 15 à 19 ans;femmes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;75;33;540;831010;0.065;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;32;02;490;30700;1.586;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;01;971;10;24290;0.045;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;75;40;140;218820;0.065;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;44;51;510;33870;1.518;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;04;974;;68050;;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;75;47;150;163900;0.09;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;44;52;120;9050;1.337;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;06;999;;8660;;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;75;79;160;185530;0.088;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;44;57;790;53470;1.476;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;11;77;30;87110;0.029;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;75;999;2260;3006200;0.075;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;44;88;210;19850;1.068;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;11;93;50;93980;0.057;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;76;12;150;137310;0.11;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;52;49;520;48720;1.074;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;24;37;;34710;;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;76;30;220;385120;0.057;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;52;85;360;39360;0.907;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;27;21;;28560;;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;76;46;80;85060;0.093;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;53;29;470;52570;0.888;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;27;39;;14810;;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;76;65;100;113480;0.092;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;75;86;300;24490;1.221;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;27;58;;9990;;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;76;81;180;194520;0.092;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;76;12;150;14440;1.025;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;27;89;;18050;;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;76;82;100;133790;0.077;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;76;30;560;44300;1.262;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;28;27;;35880;;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;76;09;80;75940;0.111;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;76;65;140;12070;1.193;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;44;10;;17070;;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;84;63;270;322910;0.085;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;76;82;180;15670;1.149;1,2,3;de 35 à 39 ans;tous sexes;2.0
2021;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;76;82;300;15670;1.149;1,2,3;de 35 à 39 ans;tous sexes;2.0
2022;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;76;82;800;15670;1.149;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;44;52;;9120;;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;84;07;160;164910;0.098;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;84;26;310;31230;0.976;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;44;54;;37420;;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;84;73;180;222320;0.082;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;84;42;530;44000;1.202;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;44;55;;9950;;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;84;999;3110;4003760;0.078;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;84;07;210;17930;1.149;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;44;08;;15660;;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;93;04;80;82500;0.091;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;93;05;80;8220;0.937;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;52;44;10;86410;0.013;2,3;de 15 à 19 ans;tous sexes;36.0
2022;Maladies cardioneurovasculaires;Embolie pulmonaire;Embolie pulmonaire;MCV_EPU_IND;tsage;1;93;05;80;71440;0.109;2,3;tous âges;hommes;28.0
2019;Diabète;Diabète;Diabète;DIA_CAT_CAT;35-39;9;93;84;430;34190;1.255;1,2,3;de 35 à 39 ans;tous sexes;2.0
2020;Maladies inflammatoires ou rares ou infection VIH;Infection par le VIH;Infection par le VIH;INF_VIH_IND;15-19;9;52;49;;51670;;2,3;de 15 à 19 ans;tous sexes;36.0
